iter	Passed	Remaining
670	2383	1168
671	2388	1165
672	2393	1163
673	2398	1160
674	2404	1157
675	2409	1154
676	2413	1151
677	2419	1149
678	2424	1146
679	2429	1143
680	2434	1140
681	2439	1137
682	2444	1134
683	2449	1131
684	2454	1128
685	2459	1125
686	2465	1123
687	2470	1120
688	2475	1117
689	2480	1114
690	2485	1111
691	2490	1108
692	2496	1105
693	2501	1102
694	2506	1099
695	2511	1096
696	2516	1093
697	2521	1091
698	2526	1088
699	2531	1085
700	2536	1081
701	2541	1079
702	2546	1075
703	2551	1072
704	2557	1069
705	2561	1066
706	2566	1063
707	2571	1060
708	2576	1057
709	2581	1054
710	2586	1051
711	2591	1048
712	2596	1045
713	2602	1042
714	2606	1039
715	2611	1036
716	2617	1032
717	2621	1029
718	2626	1026
719	2631	1023
720	2636	1020
721	2641	1017
722	2646	1014
723	2651	1010
724	2656	1007
725	2662	1004
726	2667	1001
727	2671	998
728	2676	995
729	2681	991
730	2686	988
731	2691	985
732	2697	982
733	2702	979
734	2707	976
735	2712	972
736	2717	969
737	2722	966
738	2727	963
739	2732	959
740	2737	956
741	2742	953
742	2747	950
743	2752	947
744	2757	943
745	2762	940
746	2767	937
747	2772	933
748	2777	930
749	2782	927
750	2787	924
751	2793	921
752	2798	918
753	2803	914
754	2809	911
755	2814	908
756	2818	904
757	2824	901
758	2829	898
759	2833	894
760	2839	891
761	2844	888
762	2849	884
763	2853	881
764	2859	878
765	2864	874
766	2869	871
767	2874	868
768	2879	864
769	2884	861
770	2889	858
771	2894	854
772	2899	851
773	2904	848
774	2909	844
775	2914	841
776	2919	837
777	2924	834
778	2929	830
779	2934	827
780	2939	824
781	2944	820
782	2949	817
783	2955	814
784	2960	810
785	2965	807
786	2970	803
787	2975	800
788	2980	796
789	2985	793
790	2989	789
791	2994	786
792	3000	783
793	3004	779
794	3010	776
795	3015	772
796	3019	769
797	3025	765
798	3029	762
799	3035	758
800	3039	755
801	3044	751
802	3049	748
803	3054	744
804	3059	741
805	3064	737
806	3070	734
807	3075	730
808	3080	727
809	3085	723
810	3090	720
811	3095	716
812	3100	713
813	3105	709
814	3110	706
815	3115	702
816	3120	698
817	3125	695
818	3130	691
819	3135	688
820	3140	684
821	3145	681
822	3150	677
823	3155	673
824	3160	670
825	3165	666
826	3170	663
827	3174	659
828	3179	655
829	3185	652
830	3190	648
831	3195	645
832	3200	641
833	3205	638
834	3210	634
835	3215	630
836	3220	627
837	3225	623
838	3230	619
839	3235	616
840	3240	612
841	3245	608
842	3250	605
843	3255	601
844	3260	598
